"l","u","trt","strata"
0.645905959187075,0.924095844151452,"0","S1"
0.500833939295262,1.37739014672115,"0","S1"
0.345799501985312,1.0072024858091,"0","S1"
2.28566403174773,Inf,"0","S1"
0.944868727121502,1.09004634921439,"0","S1"
1.11704739602283,1.81011014920659,"0","S1"
0.866345029091462,1.69376325770281,"0","S1"
0.857452647993341,Inf,"0","S1"
0.367007452528924,1.33812156994827,"0","S1"
1.31489192810841,Inf,"0","S1"
0.132809998700395,0.21553664910607,"0","S1"
1.07665183325298,Inf,"0","S1"
2.27512425975874,3.02461762679741,"0","S1"
2.27617329847999,Inf,"0","S1"
0.798295934451744,1.70471257134341,"0","S1"
1.05938722449355,1.21138589922339,"0","S1"
0,0.968514965148643,"0","S1"
1.483158668736,Inf,"0","S1"
0.212796853622422,0.996602995088324,"0","S1"
2.01554458006285,Inf,"0","S1"
1.27942945668474,1.40160699794069,"0","S1"
1.50592271168716,Inf,"0","S1"
1.1898714590352,2.02814853354357,"0","S1"
0.763869296293706,Inf,"0","S1"
0.869877819204703,1.40038236579858,"0","S1"
0,0.802864517550915,"0","S1"
1.90495770960115,Inf,"0","S1"
0.0413749553263187,0.644792881328613,"0","S1"
1.65760440682061,Inf,"0","S1"
1.36919960705563,2.03514783666469,"0","S1"
1.2342224274762,1.5358829353936,"0","S1"
1.63275993312709,2.34317312459461,"0","S1"
1.04227806837298,1.58735623396933,"0","S1"
0.947023514425382,1.41315347701311,"0","S1"
0,0.995946489972994,"0","S1"
2.03674504184164,Inf,"0","S1"
0.859731127042323,1.74288774351589,"0","S1"
0.324081239057705,0.651639941614121,"0","S1"
0,0.678583469707519,"0","S1"
1.34250891651027,2.22003996814601,"0","S1"
0.640373676083982,1.24915705015883,"0","S1"
0.61221353826113,Inf,"0","S1"
0.820597051177174,1.51997203682549,"0","S1"
1.44641888816841,2.01132071670145,"0","S1"
0.904669755138457,1.51051714690402,"0","S1"
1.38259312836453,1.48179462295957,"0","S1"
0,0.697655014460906,"0","S1"
0.529313766397536,1.51139190350659,"0","S1"
1.21026187273674,Inf,"0","S1"
0.4143707214389,1.1523552951403,"0","S1"
2.09415731090121,Inf,"0","S1"
0.674235306680202,1.41738743940368,"0","S1"
0,0.837828533956781,"0","S1"
1.70911547192372,Inf,"0","S1"
0.670828729867935,1.40331333852373,"0","S1"
0.705505737336352,Inf,"0","S1"
1.62394139007665,2.16321429144591,"0","S1"
0.8933309125714,Inf,"0","S1"
0,0.653036702191457,"0","S1"
