"l","u","trt"
2.39628996758256,Inf,"0"
1.04317385237664,1.59231874358375,"0"
0.869883202831261,2.09724182914943,"0"
1.09162581490818,2.24421033100225,"0"
0,0.94482679408975,"0"
1.61155779054388,2.41224917548243,"0"
0,1.42070713941939,"0"
2.38911129394546,3.58138889295515,"0"
1.56494029343594,Inf,"0"
3.34049794496968,Inf,"0"
0,1.49879459151998,"0"
0.713293964741752,1.9571974966675,"0"
0.558895414229482,1.03886155213695,"0"
2.04354249138851,2.48007605108432,"0"
0.990808284608647,1.83993008744437,"0"
0.816131896222942,2.05586038297042,"0"
2.17226984887384,Inf,"0"
0.205213581444696,1.38334324210882,"0"
1.81887101184111,3.13030678639188,"0"
0.89572961605154,1.59529959596694,"0"
1.2665308235446,Inf,"0"
2.90434461075347,3.6216821159469,"0"
1.22248930705246,2.67909613670781,"0"
0.883087200927548,1.93926611181814,"0"
0.801617986522615,1.32443276164122,"0"
1.17693211440928,Inf,"0"
1.14393483067397,2.23691688850522,"0"
1.00017647619825,2.36872343590949,"0"
1.14778159267735,2.60429595771711,"0"
1.13297274406068,Inf,"0"
0.231199358124286,0.680843540467322,"0"
0.490076598711312,1.53315198188648,"0"
2.52714632882271,Inf,"0"
0,1.32917321543209,"0"
0,1.15599418454804,"0"
0,1.24691012932453,"0"
0,1.23870445182547,"0"
1.75369894725736,3.09583748155273,"0"
1.04261298675556,2.42249245382845,"0"
2.10759111237712,2.98421558272094,"0"
0.781870576087385,2.27160324587021,"0"
1.04659104114398,2.53570343751926,"0"
2.36254232784268,2.68509410298429,"0"
1.02021634101402,1.89723553822841,"0"
2.0524397813715,Inf,"0"
0,0.318238250096329,"0"
1.28000545722898,2.29578147979919,"0"
0.781352213700302,2.01379645010456,"0"
1.57939636381343,2.97774537897203,"0"
1.52569730440155,3.00423044501804,"0"
0,1.49969658907503,"0"
2.22681097523309,Inf,"0"
0.910896587069146,1.7873219467001,"0"
0.854605951462872,1.96532621432561,"0"
1.46852772287093,2.57409669819754,"0"
1.08647510851733,2.2919957684353,"0"
1.36319535272196,2.78640895709395,"0"
1.87215049588121,3.0845223411452,"0"
0.498936057672836,1.0369478239445,"0"
1.42090899695177,2.29024916212074,"0"
1.9546806612052,2.87883959384635,"0"
1.09740581398364,2.00593255448621,"0"
0,1.07481297722552,"0"
0,1.07988189021125,"0"
1.40846543130465,2.67867550312076,"0"
1.33149102889001,2.19862171704881,"0"
0.26530799176544,1.07191917439923,"0"
0.824279465479776,2.04225511627737,"0"
0.941941993427463,2.40029111516196,"0"
0.052311849896796,1.33234233409166,"0"
1.14024797128513,1.71062585141044,"0"
1.26532355463132,2.00384740903974,"0"
0.480078723630868,1.09386031678878,"0"
2.8120742806932,Inf,"0"
1.29445312125608,1.9174311789684,"0"
2.14787832379807,Inf,"0"
1.91388115903828,3.00096284423489,"0"
0.793409813661128,1.97215541603509,"0"
0,1.02417250990402,"0"
1.05244871147443,1.9659490250051,"0"
1.45378325600177,1.56960345909465,"0"
0.660870281746611,Inf,"0"
1.96462481771596,Inf,"0"
2.46442519000266,3.80895819165744,"0"
1.66792420623824,2.07165008189622,"0"
0,0.683722072513774,"0"
1.19836969929747,Inf,"0"
0.899492407799698,1.57069224771112,"0"
0.973265047883615,2.04020127130207,"0"
0.39016001089476,1.56441715825349,"0"
2.27104693546426,3.59436663798988,"0"
2.23863819648977,Inf,"0"
2.49774237850215,3.91608338663355,"0"
1.41461362328846,2.86803812440485,"0"
0,0.888336975476705,"0"
2.80463528679684,4.04884558485355,"0"
0,0.972216727444902,"0"
1.77074586390518,Inf,"0"
1.73268769599963,3.18651500483975,"0"
2.11670301679987,2.54750770842656,"0"
2.4054235703079,Inf,"0"
2.34952148899902,3.16527047019918,"0"
0.593513226835057,1.77402963652276,"0"
1.26888250513002,2.40302314062137,"0"
0.834333914914168,0.952772780670784,"0"
0,0.783894432359375,"0"
1.26074067712761,2.39933176059276,"0"
0.299867267603986,1.58986725029536,"0"
2.73248068545945,4.05215721472632,"0"
0.31326039810665,1.1117263751803,"0"
2.0972071189899,2.4970828309888,"0"
0.949377743178047,1.06853760697413,"0"
2.02497417584527,Inf,"0"
0.143470267765224,1.27317248436157,"0"
2.97827401792165,Inf,"0"
1.34204796922859,2.79881113779265,"0"
1.75283208768815,Inf,"0"
0,1.18408360483591,"0"
2.1702686289791,Inf,"0"
0.530233940226026,1.78528126690071,"0"
2.09825341100805,2.94962106936146,"0"
0,1.19376130483579,"0"
1.55940389516763,2.12965302122757,"0"
1.10550708964001,1.63516951398924,"0"
1.07060001476202,1.87076926615555,"0"
1.49554266943596,2.54171672661323,"0"
1.55449859448709,2.44237492885441,"0"
1.86697613645811,3.24704124592245,"0"
1.21239272353705,Inf,"0"
1.71117501310073,2.22657289146446,"0"
1.78971937077586,Inf,"0"
0,1.24328153673559,"0"
2.35548828123137,Inf,"0"
2.7376606380567,3.6762060894398,"0"
1.26219015161041,2.32988157612272,"0"
2.87226386158727,3.785285598482,"0"
1.922932406771,2.22560593765229,"0"
1.89475602318998,3.29654527804814,"0"
3.12752838002052,3.79286412347574,"0"
2.2293029447319,Inf,"0"
0,0.903557277051732,"0"
0.144760173512623,0.627859509782866,"0"
1.77713583188597,2.79661723645404,"0"
1.32452891359571,1.85078885767143,"0"
2.28860955778509,Inf,"0"
0,0.867680858820677,"0"
2.92676189693157,Inf,"0"
0.682896780897863,1.15812265709974,"0"
2.15043406526092,Inf,"0"
1.27690029004589,2.17078139260411,"0"
1.4707730995724,2.44059346115682,"0"
0,1.41700880520511,"0"
2.32904579595197,2.92754149390385,"0"
1.29246654210147,2.52956420648843,"0"
0.37289047439117,1.66234849090688,"0"
1.44092421547975,2.18050857412163,"0"
1.45468723902013,1.93619793257676,"0"
0.476499800453894,1.95689562521875,"0"
0,1.38936846563593,"0"
3.23725912522059,Inf,"0"
1.54443217883818,Inf,"0"
0.749862527707592,2.02397697907872,"0"
1.24806624627672,1.80724700423889,"0"
1.10181866213679,2.19791423238348,"0"
0,1.28008650743868,"0"
2.25061126565561,2.71962093072943,"0"
0,1.21531498327386,"0"
0,1.33681106579024,"0"
0.359244415769354,1.7637925806921,"0"
1.21666981559247,1.80947126483079,"0"
0,0.771594226942398,"0"
2.08872762147803,Inf,"0"
0,1.25486283120699,"0"
1.42801523488015,Inf,"0"
0.669761881465092,1.26650231634267,"0"
0.870157359517179,2.11395404941868,"0"
1.22210064763203,1.91323706391267,"0"
0.905492103891447,Inf,"0"
1.39072739880066,2.58105225220788,"0"
1.33789305423852,2.18328839633614,"0"
0.44559398945421,1.42708908068016,"0"
2.65493968280498,4.07255453628022,"0"
1.58968300349079,2.56434046814684,"0"
2.08524567203131,2.95010443974752,"0"
0,1.33147026412189,"0"
2.13896241795737,Inf,"0"
0.957148495945148,1.87617407622747,"0"
1.03623172442894,1.15676662197802,"0"
2.20553073228803,Inf,"0"
0.480046535376459,1.4752308310708,"0"
